Municipios;Periodo;Total
17184 Santa Pau;2021;1585
17184 Santa Pau;2020;1614
17186 Sarrià de Ter;2022;5294
17186 Sarrià de Ter;2021;5231
17186 Sarrià de Ter;2020;5229
17187 Saus, Camallera i Llampaies;2022;865
17187 Saus, Camallera i Llampaies;2021;865
17187 Saus, Camallera i Llampaies;2020;856
17188 Selva de Mar, La;2022;220
17188 Selva de Mar, La;2021;212
17188 Selva de Mar, La;2020;195
17190 Serinyà;2022;1153
17190 Serinyà;2021;1143
17190 Serinyà;2020;1133
17191 Serra de Daró;2022;233
17191 Serra de Daró;2021;235
17191 Serra de Daró;2020;222
17192 Setcases;2022;200
17192 Setcases;2021;185
17192 Setcases;2020;170
17193 Sils;2022;6507
17193 Sils;2021;6349
17193 Sils;2020;6219
17052 Siurana;2022;178
17052 Siurana;2021;179
17052 Siurana;2020;171
17194 Susqueda;2022;96
17194 Susqueda;2021;99
17194 Susqueda;2020;93
17195 Tallada d'Empordà, La;2022;480
17195 Tallada d'Empordà, La;2021;466
17195 Tallada d'Empordà, La;2020;454
17196 Terrades;2022;345
17196 Terrades;2021;334
17196 Terrades;2020;338
17197 Torrent;2022;166
17197 Torrent;2021;160
17197 Torrent;2020;164
17198 Torroella de Fluvià;2022;741
17198 Torroella de Fluvià;2021;726
17198 Torroella de Fluvià;2020;703
17199 Torroella de Montgrí;2022;12061
17199 Torroella de Montgrí;2021;12023
17199 Torroella de Montgrí;2020;11836
17200 Tortellà;2022;823
17200 Tortellà;2021;816
17200 Tortellà;2020;818
17201 Toses;2022;185
17201 Toses;2021;178
17201 Toses;2020;168
17202 Tossa de Mar;2022;5956
17202 Tossa de Mar;2021;5930
17202 Tossa de Mar;2020;5818
17204 Ullà;2022;1195
17204 Ullà;2021;1167
17204 Ullà;2020;1177
17205 Ullastret;2022;250
17205 Ullastret;2021;258
17205 Ullastret;2020;274
17203 Ultramort;2022;224
17203 Ultramort;2021;226
17203 Ultramort;2020;225
17206 Urús;2022;214
17206 Urús;2021;210
17206 Urús;2020;196
17014 Vajol, La;2022;87
17014 Vajol, La;2021;88
17014 Vajol, La;2020;89
17208 Vall de Bianya, La;2022;1345
17208 Vall de Bianya, La;2021;1315
17208 Vall de Bianya, La;2020;1275
17207 Vall d'en Bas, La;2022;3143
17207 Vall d'en Bas, La;2021;3115
17207 Vall d'en Bas, La;2020;3093
17170 Vallfogona de Ripollès;2022;222
17170 Vallfogona de Ripollès;2021;213
17170 Vallfogona de Ripollès;2020;196
17209 Vall-llobrega;2022;926
17209 Vall-llobrega;2021;918
17209 Vall-llobrega;2020;897
17210 Ventalló;2022;911
17210 Ventalló;2021;914
17210 Ventalló;2020;846
17211 Verges;2022;1162
17211 Verges;2021;1183
17211 Verges;2020;1169
17212 Vidrà;2022;181
17212 Vidrà;2021;186
17212 Vidrà;2020;177
17213 Vidreres;2022;8167
17213 Vidreres;2021;8073
17213 Vidreres;2020;7951
17214 Vilabertran;2022;991
17214 Vilabertran;2021;969
17214 Vilabertran;2020;993
17215 Vilablareix;2022;3396
17215 Vilablareix;2021;3225
17215 Vilablareix;2020;3063
17217 Viladamat;2022;479
17217 Viladamat;2021;471
17217 Viladamat;2020;458
17216 Viladasens;2022;216
17216 Viladasens;2021;214
17216 Viladasens;2020;206
17218 Vilademuls;2022;840
17218 Vilademuls;2021;835
17218 Vilademuls;2020;835
17220 Viladrau;2022;1103
17220 Viladrau;2021;1102
17220 Viladrau;2020;1047
17221 Vilafant;2022;5562
17221 Vilafant;2021;5480
17221 Vilafant;2020;5421
17223 Vilajuïga;2022;1142
17223 Vilajuïga;2021;1124
17223 Vilajuïga;2020;1116
17224 Vilallonga de Ter;2022;410
17224 Vilallonga de Ter;2021;386
17224 Vilallonga de Ter;2020;398
17225 Vilamacolum;2022;386
17225 Vilamacolum;2021;371
17225 Vilamacolum;2020;377
17226 Vilamalla;2022;1166
17226 Vilamalla;2021;1154
17226 Vilamalla;2020;1161
17227 Vilamaniscle;2022;204
17227 Vilamaniscle;2021;205
17227 Vilamaniscle;2020;212
17228 Vilanant;2022;401
17228 Vilanant;2021;399
17228 Vilanant;2020;386
17230 Vila-sacra;2022;785
17230 Vila-sacra;2021;761
17230 Vila-sacra;2020;758
17222 Vilaür;2022;162
17222 Vilaür;2021;162
17222 Vilaür;2020;158
17233 Vilobí d'Onyar;2022;3304
17233 Vilobí d'Onyar;2021;3310
17233 Vilobí d'Onyar;2020;3333
17232 Vilopriu;2022;223
17232 Vilopriu;2021;230
17232 Vilopriu;2020;204
